driver_age,gender,annual_mileage,territory,prior_claims_3yrs,current_claim_count,age_group,total_claims_3yrs,mileage_category
54,M,21602,rural,0,0,41-60,0,high
36,F,14497,urban,1,0,26-40,1,medium
48,M,16978,suburban,0,0,41-60,0,medium
73,M,11663,urban,0,0,60+,0,medium
68,M,15250,suburban,0,0,60+,0,medium
66,M,12062,suburban,0,0,60+,0,medium
62,F,17133,urban,0,0,60+,0,medium
77,M,16565,suburban,0,0,60+,0,medium
16,M,19354,rural,0,0,16-25,0,medium
67,M,14702,suburban,0,0,60+,0,medium
65,F,17876,urban,0,0,60+,0,medium
68,F,21305,rural,0,0,60+,0,high
29,M,22285,suburban,0,0,26-40,0,high
65,F,12035,urban,0,0,60+,0,medium
52,F,18990,suburban,0,0,41-60,0,medium
57,M,16546,urban,0,0,41-60,0,medium
32,F,8017,urban,0,0,26-40,0,low
21,F,20237,suburban,0,0,16-25,0,high
61,M,38178,suburban,0,0,60+,0,very_high
39,F,13689,suburban,1,0,26-40,1,medium
71,F,18779,urban,1,0,60+,1,medium
66,F,27115,suburban,1,0,60+,1,high
69,F,16132,urban,0,0,60+,0,medium
66,F,16160,urban,0,0,60+,0,medium
63,F,13116,urban,0,0,60+,0,medium
24,M,18982,suburban,2,0,16-25,2,medium
73,M,17331,suburban,1,0,60+,1,medium
61,F,12729,urban,0,1,60+,1,medium
46,F,21130,urban,0,0,41-60,0,high
41,F,11790,urban,0,0,41-60,0,medium
37,M,18346,urban,0,0,26-40,0,medium
43,F,17590,suburban,1,0,41-60,1,medium
72,F,18387,suburban,0,0,60+,0,medium
78,M,30813,rural,0,0,60+,0,very_high
40,F,18338,urban,0,0,26-40,0,medium
35,F,16122,suburban,0,0,26-40,0,medium
59,F,17969,urban,0,0,41-60,0,medium
23,M,20471,rural,1,0,16-25,1,high
36,F,21838,suburban,1,0,26-40,1,high
52,M,7992,urban,1,0,41-60,1,low
42,F,28063,rural,0,0,41-60,0,high
49,F,16088,suburban,1,0,41-60,1,medium
66,F,13131,urban,0,0,60+,0,medium
74,F,10117,suburban,0,0,60+,0,medium
43,F,25223,rural,1,0,41-60,1,high
45,M,15189,suburban,1,0,41-60,1,medium
60,M,26379,rural,0,0,41-60,0,high
54,M,15175,urban,0,0,41-60,0,medium
64,F,8280,urban,0,0,60+,0,low
35,M,28041,suburban,0,0,26-40,0,high
71,F,20502,suburban,1,1,60+,2,high
39,F,17943,urban,0,0,26-40,0,medium
75,M,9434,suburban,0,0,60+,0,low
97,F,9666,suburban,0,0,60+,0,low
52,M,3467,suburban,0,1,41-60,1,low
23,M,27711,rural,0,0,16-25,0,high
40,M,12830,urban,1,0,26-40,1,medium
50,M,16411,urban,0,0,41-60,0,medium
41,M,12510,urban,0,1,41-60,1,medium
71,M,21941,rural,0,0,60+,0,high
48,F,16213,urban,1,0,41-60,1,medium
60,F,17928,suburban,0,0,41-60,0,medium
99,F,19196,rural,0,0,60+,0,medium
77,F,19121,rural,1,0,60+,1,medium
42,F,12785,suburban,0,0,41-60,0,medium
76,F,16250,suburban,0,0,60+,0,medium
47,M,13295,suburban,1,0,41-60,1,medium
60,M,18764,rural,1,0,41-60,1,medium
17,F,21825,urban,0,0,16-25,0,high
37,M,19641,suburban,0,0,26-40,0,medium
61,F,25373,suburban,0,0,60+,0,high
69,M,16529,urban,0,0,60+,0,medium
70,F,17763,urban,1,0,60+,1,medium
52,M,23710,suburban,0,2,41-60,2,high
94,M,15741,urban,1,0,60+,1,medium
34,M,13177,suburban,0,0,26-40,0,medium
26,F,10276,suburban,0,0,26-40,0,medium
61,F,26745,rural,1,0,60+,1,high
24,M,24171,suburban,0,0,16-25,0,high
52,M,14660,urban,1,0,41-60,1,medium
35,F,17401,urban,0,0,26-40,0,medium
56,F,14004,suburban,1,0,41-60,1,medium
43,M,13470,suburban,1,0,41-60,1,medium
51,F,12134,urban,0,0,41-60,0,medium
38,M,16027,suburban,0,0,26-40,0,medium
77,F,19233,suburban,2,0,60+,2,medium
75,M,17148,rural,0,0,60+,0,medium
27,M,21767,suburban,1,0,26-40,1,high
60,M,16702,urban,0,0,41-60,0,medium
60,F,22731,rural,0,0,41-60,0,high
38,M,12755,urban,1,0,26-40,1,medium
62,M,23703,suburban,0,0,60+,0,high
29,F,14945,urban,0,0,26-40,0,medium
47,F,15768,urban,0,0,41-60,0,medium
64,F,19508,rural,1,0,60+,1,medium
74,F,23468,suburban,1,0,60+,1,high
72,F,18002,urban,1,0,60+,1,medium
23,F,11530,suburban,1,0,16-25,1,medium
24,F,21279,suburban,0,1,16-25,1,high
52,M,19798,rural,0,0,41-60,0,medium
52,M,13041,suburban,0,0,41-60,0,medium
55,M,17533,suburban,1,1,41-60,2,medium
28,F,9818,urban,1,0,26-40,1,low
46,F,12418,urban,0,0,41-60,0,medium
67,F,11963,urban,0,0,60+,0,medium
37,M,9883,urban,0,0,26-40,0,low
38,M,12616,urban,0,0,26-40,0,medium
16,M,16564,urban,2,0,16-25,2,medium
50,M,18649,urban,0,0,41-60,0,medium
50,F,17836,urban,0,0,41-60,0,medium
56,F,21484,rural,0,0,41-60,0,high
70,M,19011,urban,1,1,60+,2,medium
63,F,15737,urban,1,0,60+,1,medium
36,M,19959,urban,0,0,26-40,0,medium
76,F,17824,rural,0,1,60+,1,medium
50,F,27273,rural,0,0,41-60,0,high
55,M,16733,urban,0,0,41-60,0,medium
56,M,13095,suburban,0,1,41-60,1,medium
42,M,11803,suburban,0,0,41-60,0,medium
61,M,19975,rural,0,0,60+,0,medium
55,M,18241,suburban,0,0,41-60,0,medium
49,F,16577,urban,0,0,41-60,0,medium
77,F,13487,urban,0,0,60+,0,medium
62,M,9823,suburban,0,0,60+,0,low
40,M,13870,urban,0,0,26-40,0,medium
35,M,31055,rural,0,0,26-40,0,very_high
71,F,19359,urban,0,1,60+,1,medium
46,M,9623,urban,0,0,41-60,0,low
74,M,13482,urban,0,0,60+,0,medium
35,M,35769,rural,0,0,26-40,0,very_high
25,M,12865,urban,0,0,16-25,0,medium
46,F,8267,urban,0,0,41-60,0,low
40,F,14204,urban,0,0,26-40,0,medium
65,M,16553,urban,0,0,60+,0,medium
55,M,27636,rural,0,1,41-60,1,high
92,F,19558,urban,0,0,60+,0,medium
18,F,15161,urban,0,1,16-25,1,medium
49,M,20834,rural,1,0,41-60,1,high
25,M,20437,suburban,1,0,16-25,1,high
73,F,29106,rural,0,0,60+,0,high
77,M,17324,suburban,0,1,60+,1,medium
56,F,21421,suburban,0,1,41-60,1,high
77,F,16890,rural,2,0,60+,2,medium
24,F,17968,urban,1,0,16-25,1,medium
59,M,17164,urban,0,0,41-60,0,medium
73,F,11313,urban,0,0,60+,0,medium
75,M,16682,suburban,0,0,60+,0,medium
85,M,12037,urban,0,0,60+,0,medium
73,M,26295,rural,0,0,60+,0,high
56,M,14392,suburban,0,0,41-60,0,medium
48,M,31483,rural,0,0,41-60,0,very_high
63,M,23736,urban,0,0,60+,0,high
53,M,16460,suburban,0,1,41-60,1,medium
32,M,14479,urban,0,0,26-40,0,medium
41,M,20851,urban,0,0,41-60,0,high
61,M,15500,urban,2,0,60+,2,medium
67,F,20832,suburban,0,0,60+,0,high
21,M,24438,rural,1,0,16-25,1,high
26,F,17046,rural,0,0,26-40,0,medium
28,M,23596,suburban,1,0,26-40,1,high
34,M,18611,urban,0,1,26-40,1,medium
33,F,16572,suburban,0,0,26-40,0,medium
62,F,15449,suburban,1,0,60+,1,medium
25,F,21374,urban,0,0,16-25,0,high
32,M,18513,urban,0,0,26-40,0,medium
63,F,21873,suburban,1,0,60+,1,high
43,F,9241,suburban,0,0,41-60,0,low
35,F,10432,urban,0,0,26-40,0,medium
53,M,10609,urban,1,0,41-60,1,medium
44,M,14010,urban,0,0,41-60,0,medium
35,F,25328,rural,0,0,26-40,0,high
47,M,15804,urban,1,0,41-60,1,medium
29,M,22955,suburban,0,0,26-40,0,high
47,F,11264,suburban,0,0,41-60,0,medium
35,M,16446,suburban,0,0,26-40,0,medium
92,F,21404,suburban,1,0,60+,1,high
80,M,12146,suburban,0,0,60+,0,medium
39,M,12807,suburban,0,0,26-40,0,medium
48,F,18251,suburban,0,0,41-60,0,medium
58,M,11046,urban,0,0,41-60,0,medium
72,F,10641,rural,0,0,60+,0,medium
84,F,11057,suburban,1,0,60+,1,medium
27,F,11022,urban,0,0,26-40,0,medium
62,F,14674,urban,1,1,60+,2,medium
45,F,24298,rural,0,0,41-60,0,high
26,M,17402,suburban,0,0,26-40,0,medium
27,M,14704,urban,2,0,26-40,2,medium
46,F,19038,urban,0,0,41-60,0,medium
63,F,23827,rural,0,1,60+,1,high
67,M,21170,suburban,0,0,60+,0,high
36,F,15149,rural,0,0,26-40,0,medium
32,M,17686,urban,1,0,26-40,1,medium
72,F,23323,suburban,1,0,60+,1,high
23,F,25487,rural,0,0,16-25,0,high
29,F,30669,suburban,0,0,26-40,0,very_high
58,M,25467,suburban,1,0,41-60,1,high
54,M,19040,suburban,0,0,41-60,0,medium
41,M,18551,urban,1,0,41-60,1,medium
76,M,13534,suburban,0,0,60+,0,medium
26,M,28424,rural,1,0,26-40,1,high
89,M,6468,urban,1,0,60+,1,low
30,F,15369,urban,0,0,26-40,0,medium
33,M,10212,rural,0,0,26-40,0,medium
59,M,23260,rural,0,0,41-60,0,high
37,F,12129,urban,1,0,26-40,1,medium
42,F,17723,suburban,0,0,41-60,0,medium
19,F,20834,suburban,0,0,16-25,0,high
33,F,22043,rural,0,0,26-40,0,high
49,M,10570,urban,0,0,41-60,0,medium
88,F,17292,suburban,0,0,60+,0,medium
25,F,16484,urban,0,0,16-25,0,medium
37,M,25723,suburban,0,0,26-40,0,high
78,F,19036,suburban,1,0,60+,1,medium
64,M,9893,urban,0,0,60+,0,low
64,M,24564,suburban,0,0,60+,0,high
17,F,12600,urban,1,1,16-25,2,medium
45,F,15777,urban,0,0,41-60,0,medium
72,M,15777,suburban,1,0,60+,1,medium
21,F,19150,urban,1,1,16-25,2,medium
63,M,18618,urban,1,0,60+,1,medium
36,F,21609,suburban,1,0,26-40,1,high
30,F,13638,urban,0,0,26-40,0,medium
77,F,20322,rural,0,0,60+,0,high
19,M,13817,suburban,0,0,16-25,0,medium
24,F,22984,suburban,0,1,16-25,1,high
59,F,11786,suburban,0,0,41-60,0,medium
39,F,16114,urban,0,0,26-40,0,medium
53,M,17868,urban,0,0,41-60,0,medium
51,F,20843,urban,3,0,41-60,3,high
51,M,17402,urban,0,0,41-60,0,medium
59,M,18055,suburban,0,0,41-60,0,medium
78,F,18516,suburban,0,0,60+,0,medium
26,F,32872,suburban,0,0,26-40,0,very_high
65,F,12255,urban,0,0,60+,0,medium
35,M,13940,urban,0,0,26-40,0,medium
70,F,23026,suburban,0,0,60+,0,high
34,M,18982,urban,1,0,26-40,1,medium
61,F,26233,suburban,0,0,60+,0,high
25,M,20956,suburban,0,0,16-25,0,high
100,M,12852,urban,0,0,60+,0,medium
19,F,18499,suburban,1,0,16-25,1,medium
40,F,23429,suburban,1,0,26-40,1,high
32,F,12849,urban,0,0,26-40,0,medium
19,F,17956,urban,0,0,16-25,0,medium
58,M,6770,suburban,0,0,41-60,0,low
86,F,25545,suburban,0,1,60+,1,high
33,F,21227,suburban,0,0,26-40,0,high
95,M,19507,suburban,0,0,60+,0,medium
23,M,17883,urban,0,0,16-25,0,medium
75,F,18468,rural,0,0,60+,0,medium
69,F,10322,suburban,0,0,60+,0,medium
57,F,8675,urban,0,0,41-60,0,low
87,F,16761,urban,2,0,60+,2,medium
36,F,14139,urban,0,0,26-40,0,medium
70,M,18472,suburban,0,0,60+,0,medium
43,M,20950,rural,0,0,41-60,0,high
17,M,12886,urban,1,0,16-25,1,medium
43,M,25502,suburban,1,0,41-60,1,high
74,F,11075,urban,1,1,60+,2,medium
75,F,21635,suburban,0,0,60+,0,high
42,M,12462,suburban,0,0,41-60,0,medium
50,M,16837,suburban,0,0,41-60,0,medium
34,F,17591,suburban,1,0,26-40,1,medium
65,F,12950,urban,0,0,60+,0,medium
38,F,22388,suburban,0,0,26-40,0,high
77,F,16110,suburban,0,1,60+,1,medium
44,M,13156,urban,1,0,41-60,1,medium
18,F,12641,urban,2,0,16-25,2,medium
43,F,17872,urban,0,0,41-60,0,medium
25,M,20014,urban,1,1,16-25,2,high
18,F,18186,urban,0,0,16-25,0,medium
34,M,17257,suburban,0,0,26-40,0,medium
33,M,22231,suburban,0,0,26-40,0,high
71,M,17675,suburban,0,0,60+,0,medium
66,F,10338,urban,0,0,60+,0,medium
59,F,14688,suburban,0,0,41-60,0,medium
83,M,18912,suburban,0,1,60+,1,medium
50,M,20163,suburban,0,0,41-60,0,high
55,F,10398,urban,1,0,41-60,1,medium
22,M,16037,urban,2,0,16-25,2,medium
47,M,15605,urban,0,0,41-60,0,medium
94,F,15654,urban,0,0,60+,0,medium
25,F,10740,suburban,2,0,16-25,2,medium
44,F,16028,urban,0,1,41-60,1,medium
45,M,19982,suburban,0,0,41-60,0,medium
19,F,16219,urban,1,0,16-25,1,medium
71,F,13274,suburban,0,0,60+,0,medium
23,F,17132,urban,1,1,16-25,2,medium
16,M,10693,urban,1,0,16-25,1,medium
48,M,16520,urban,0,0,41-60,0,medium
33,M,13567,urban,0,1,26-40,1,medium
38,M,14222,suburban,0,0,26-40,0,medium
40,M,16973,suburban,2,0,26-40,2,medium
32,M,21533,rural,0,0,26-40,0,high
19,M,10295,suburban,1,0,16-25,1,medium
67,M,15856,suburban,0,0,60+,0,medium
53,F,29181,suburban,0,0,41-60,0,high
26,M,11818,suburban,0,0,26-40,0,medium
54,F,19973,suburban,0,0,41-60,0,medium
58,F,15631,urban,0,0,41-60,0,medium
61,M,12362,urban,1,0,60+,1,medium
96,F,16595,urban,0,0,60+,0,medium
72,M,14784,urban,1,0,60+,1,medium
49,M,19664,rural,1,0,41-60,1,medium
37,F,16394,urban,0,0,26-40,0,medium
66,M,18363,suburban,0,0,60+,0,medium
63,M,20632,suburban,0,0,60+,0,high
53,F,10050,urban,0,0,41-60,0,medium
84,M,17762,suburban,0,0,60+,0,medium
68,M,8033,suburban,1,0,60+,1,low
23,M,18014,urban,0,0,16-25,0,medium
28,M,15544,urban,0,0,26-40,0,medium
47,F,18375,urban,0,0,41-60,0,medium
74,F,23771,rural,1,0,60+,1,high
26,F,14463,suburban,0,0,26-40,0,medium
32,M,15534,urban,0,0,26-40,0,medium
21,F,17703,rural,1,0,16-25,1,medium
58,F,11459,urban,0,0,41-60,0,medium
39,F,16292,urban,1,0,26-40,1,medium
21,F,28655,rural,0,0,16-25,0,high
33,M,22391,rural,0,0,26-40,0,high
50,M,23673,suburban,2,1,41-60,3,high
85,M,14076,suburban,0,0,60+,0,medium
41,M,14215,rural,0,0,41-60,0,medium
37,M,18052,suburban,0,1,26-40,1,medium
53,M,15991,suburban,1,0,41-60,1,medium
44,M,19229,rural,0,0,41-60,0,medium
17,M,25329,urban,0,0,16-25,0,high
32,M,11623,urban,0,0,26-40,0,medium
76,M,21031,suburban,0,0,60+,0,high
41,M,17211,urban,0,0,41-60,0,medium
61,F,11662,urban,0,0,60+,0,medium
45,F,16795,suburban,0,0,41-60,0,medium
71,M,27630,rural,1,1,60+,2,high
44,F,6903,urban,0,0,41-60,0,low
57,M,15565,urban,0,0,41-60,0,medium
17,M,25921,suburban,0,1,16-25,1,high
48,M,13977,urban,1,0,41-60,1,medium
28,M,17700,suburban,0,0,26-40,0,medium
25,F,2000,suburban,0,0,16-25,0,low
66,F,18939,urban,0,0,60+,0,medium
22,F,18001,urban,0,0,16-25,0,medium
56,F,28153,rural,0,0,41-60,0,high
66,M,19239,suburban,0,0,60+,0,medium
40,M,22926,urban,0,0,26-40,0,high
19,F,22639,suburban,1,0,16-25,1,high
21,M,19365,rural,0,0,16-25,0,medium
40,M,24324,suburban,0,0,26-40,0,high
37,F,20397,urban,0,0,26-40,0,high
35,M,12873,urban,0,0,26-40,0,medium
62,M,25494,suburban,2,1,60+,3,high
29,M,27821,suburban,0,0,26-40,0,high
39,F,12829,urban,1,0,26-40,1,medium
70,F,19735,suburban,1,0,60+,1,medium
33,F,15467,suburban,0,0,26-40,0,medium
66,F,9640,urban,0,0,60+,0,low
28,F,17607,suburban,0,0,26-40,0,medium
83,M,15917,suburban,0,0,60+,0,medium
51,M,20667,suburban,1,0,41-60,1,high
33,M,22071,suburban,0,0,26-40,0,high
52,F,24605,suburban,0,0,41-60,0,high
73,F,17808,rural,1,1,60+,2,medium
23,M,14880,rural,0,0,16-25,0,medium
22,M,14512,suburban,1,0,16-25,1,medium
17,M,15277,urban,1,0,16-25,1,medium
49,F,17288,suburban,0,0,41-60,0,medium
67,M,19930,suburban,0,0,60+,0,medium
26,M,26367,suburban,0,0,26-40,0,high
23,F,25116,suburban,0,0,16-25,0,high
67,F,21859,urban,1,0,60+,1,high
26,M,13191,urban,1,0,26-40,1,medium
47,F,14641,urban,1,0,41-60,1,medium
42,F,20141,suburban,0,0,41-60,0,high
65,M,10671,urban,0,0,60+,0,medium
30,F,13455,urban,0,0,26-40,0,medium
53,F,13165,urban,0,0,41-60,0,medium
66,M,26306,suburban,0,0,60+,0,high
68,F,18030,urban,0,0,60+,0,medium
93,M,12083,urban,0,1,60+,1,medium
42,F,14039,suburban,1,0,41-60,1,medium
42,M,16125,suburban,0,0,41-60,0,medium
56,F,14089,rural,0,0,41-60,0,medium
23,F,15942,suburban,0,0,16-25,0,medium
16,M,16127,suburban,0,0,16-25,0,medium
65,F,26927,rural,0,0,60+,0,high
91,F,20492,suburban,0,0,60+,0,high
28,F,23731,rural,0,0,26-40,0,high
45,F,14428,suburban,0,0,41-60,0,medium
16,M,16413,urban,1,0,16-25,1,medium
26,M,16089,urban,0,0,26-40,0,medium
54,F,19546,suburban,0,1,41-60,1,medium
99,M,16049,suburban,0,0,60+,0,medium
82,F,22654,suburban,0,0,60+,0,high
46,M,25644,suburban,2,0,41-60,2,high
34,F,8211,urban,0,0,26-40,0,low
60,M,25642,suburban,0,0,41-60,0,high
74,M,12986,urban,1,0,60+,1,medium
67,M,12205,urban,1,0,60+,1,medium
20,M,19243,suburban,1,0,16-25,1,medium
54,F,22401,suburban,0,0,41-60,0,high
19,M,22840,rural,1,1,16-25,2,high
37,F,10788,rural,1,0,26-40,1,medium
36,M,36501,rural,1,0,26-40,1,very_high
39,M,12377,urban,0,0,26-40,0,medium
35,F,15589,suburban,1,0,26-40,1,medium
16,F,17277,urban,0,2,16-25,2,medium
75,F,16056,urban,0,0,60+,0,medium
33,M,28749,suburban,0,0,26-40,0,high
53,M,8649,urban,0,0,41-60,0,low
73,M,18514,urban,0,0,60+,0,medium
44,F,22585,suburban,0,0,41-60,0,high
65,M,24480,urban,0,0,60+,0,high
60,M,18626,urban,1,0,41-60,1,medium
91,M,19917,suburban,1,0,60+,1,medium
36,F,12140,urban,0,0,26-40,0,medium
74,M,20020,urban,0,0,60+,0,high
65,F,11862,rural,0,0,60+,0,medium
42,M,5400,urban,0,0,41-60,0,low
32,M,24554,suburban,0,1,26-40,1,high
65,F,29338,rural,1,0,60+,1,high
57,F,19587,suburban,0,0,41-60,0,medium
44,M,14474,suburban,0,0,41-60,0,medium
43,M,13944,urban,1,0,41-60,1,medium
32,M,15555,suburban,1,0,26-40,1,medium
58,F,22800,suburban,0,0,41-60,0,high
48,M,26010,suburban,0,0,41-60,0,high
31,M,18162,urban,0,0,26-40,0,medium
16,F,13193,suburban,0,0,16-25,0,medium
63,M,11046,urban,1,0,60+,1,medium
63,F,15680,suburban,0,0,60+,0,medium
61,F,23609,suburban,0,0,60+,0,high
27,F,16667,suburban,0,0,26-40,0,medium
68,F,14666,suburban,0,0,60+,0,medium
24,F,12865,suburban,1,0,16-25,1,medium
19,F,19347,rural,1,0,16-25,1,medium
31,F,16550,suburban,0,0,26-40,0,medium
72,F,17915,urban,0,0,60+,0,medium
28,F,18989,suburban,0,0,26-40,0,medium
30,F,23837,suburban,0,0,26-40,0,high
54,F,19720,suburban,0,0,41-60,0,medium
51,M,10516,urban,0,0,41-60,0,medium
45,F,20070,suburban,1,0,41-60,1,high
55,F,13641,urban,0,0,41-60,0,medium
19,M,18945,rural,0,0,16-25,0,medium
52,F,16659,urban,0,1,41-60,1,medium
26,F,20098,suburban,0,0,26-40,0,high
30,M,4703,suburban,0,0,26-40,0,low
78,F,20628,suburban,1,0,60+,1,high
82,M,22149,rural,1,0,60+,1,high
69,F,18826,suburban,0,0,60+,0,medium
64,F,10412,suburban,0,0,60+,0,medium
53,F,14808,urban,0,0,41-60,0,medium
88,M,16598,suburban,0,0,60+,0,medium
34,F,7088,urban,0,0,26-40,0,low
20,M,12125,urban,2,0,16-25,2,medium
33,F,16521,urban,1,0,26-40,1,medium
39,F,17970,urban,0,0,26-40,0,medium
76,M,23314,suburban,0,0,60+,0,high
20,M,9553,urban,0,1,16-25,1,low
31,M,13986,urban,0,0,26-40,0,medium
43,F,29933,rural,1,0,41-60,1,high
