policy_id,driver_age,gender,vehicle_age,annual_mileage,territory,prior_claims_3yrs,current_claim_count
211,99,F,1,19196,rural,0,0
212,77,F,2,19121,rural,1,0
213,42,F,0,12785,suburban,0,0
214,76,F,5,16250,suburban,0,0
215,47,M,1,13295,suburban,1,0
216,60,M,1,18764,rural,1,0
217,17,F,5,21825,urban,0,0
218,37,M,5,19641,suburban,0,0
219,61,F,0,25373,suburban,0,0
220,69,M,2,16529,urban,0,0
221,70,F,0,17763,urban,1,0
222,52,M,18,23710,suburban,0,2
223,94,M,5,15741,urban,1,0
224,34,M,4,13177,suburban,0,0
225,26,F,0,10276,suburban,0,0
226,61,F,6,26745,rural,1,0
227,24,M,0,24171,suburban,0,0
228,52,M,0,14660,urban,1,0
229,35,F,9,17401,urban,0,0
230,56,F,16,14004,suburban,1,0
231,43,M,10,13470,suburban,1,0
232,51,F,3,12134,urban,0,0
233,38,M,4,16027,suburban,0,0
234,77,F,15,19233,suburban,2,0
235,75,M,1,17148,rural,0,0
236,27,M,5,21767,suburban,1,0
237,60,M,17,16702,urban,0,0
238,60,F,9,22731,rural,0,0
239,38,M,4,12755,urban,1,0
240,62,M,1,23703,suburban,0,0
241,29,F,3,14945,urban,0,0
242,47,F,3,15768,urban,0,0
243,64,F,9,19508,rural,1,0
244,74,F,0,23468,suburban,1,0
245,72,F,11,18002,urban,1,0
246,23,F,5,11530,suburban,1,0
247,24,F,2,21279,suburban,0,1
248,52,M,0,19798,rural,0,0
249,52,M,7,13041,suburban,0,0
250,55,M,2,17533,suburban,1,1
251,28,F,10,9818,urban,1,0
252,46,F,5,12418,urban,0,0
253,67,F,9,11963,urban,0,0
254,37,M,5,9883,urban,0,0
255,38,M,20,12616,urban,0,0
256,16,M,1,16564,urban,2,0
257,50,M,5,18649,urban,0,0
258,50,F,2,17836,urban,0,0
259,56,F,0,21484,rural,0,0
260,70,M,10,19011,urban,1,1
261,63,F,5,15737,urban,1,0
262,36,M,9,19959,urban,0,0
263,76,F,7,17824,rural,0,1
264,50,F,13,27273,rural,0,0
265,55,M,2,16733,urban,0,0
266,56,M,4,13095,suburban,0,1
267,42,M,3,11803,suburban,0,0
268,61,M,7,19975,rural,0,0
269,55,M,5,18241,suburban,0,0
270,49,F,5,16577,urban,0,0
271,77,F,6,13487,urban,0,0
272,62,M,9,9823,suburban,0,0
273,40,M,13,13870,urban,0,0
274,35,M,2,31055,rural,0,0
275,71,F,4,19359,urban,0,1
276,46,M,11,9623,urban,0,0
277,74,M,12,13482,urban,0,0
278,35,M,12,35769,rural,0,0
279,25,M,6,12865,urban,0,0
280,46,F,10,8267,urban,0,0
281,40,F,2,14204,urban,0,0
282,65,M,0,16553,urban,0,0
283,55,M,16,27636,rural,0,1
284,92,F,12,19558,urban,0,0
285,18,F,3,15161,urban,0,1
286,49,M,7,20834,rural,1,0
287,25,M,3,20437,suburban,1,0
288,73,F,3,29106,rural,0,0
289,77,M,8,17324,suburban,0,1
290,56,F,12,21421,suburban,0,1
291,77,F,19,16890,rural,2,0
292,24,F,18,17968,urban,1,0
293,59,M,15,17164,urban,0,0
294,73,F,2,11313,urban,0,0
295,75,M,6,16682,suburban,0,0
296,85,M,10,12037,urban,0,0
297,73,M,26,26295,rural,0,0
298,56,M,15,14392,suburban,0,0
299,48,M,5,31483,rural,0,0
300,63,M,3,23736,urban,0,0
301,53,M,5,16460,suburban,0,1
302,32,M,5,14479,urban,0,0
303,41,M,7,20851,urban,0,0
304,61,M,1,15500,urban,2,0
305,67,F,11,20832,suburban,0,0
306,21,M,6,24438,rural,1,0
307,26,F,9,17046,rural,0,0
308,28,M,8,23596,suburban,1,0
309,34,M,13,18611,urban,0,1
310,33,F,9,16572,suburban,0,0
311,62,F,5,15449,suburban,1,0
312,25,F,5,21374,urban,0,0
313,32,M,0,18513,urban,0,0
314,63,F,14,21873,suburban,1,0
315,43,F,5,9241,suburban,0,0
316,35,F,15,10432,urban,0,0
317,53,M,8,10609,urban,1,0
318,44,M,4,14010,urban,0,0
319,35,F,8,25328,rural,0,0
320,47,M,3,15804,urban,1,0
321,29,M,3,22955,suburban,0,0
322,47,F,4,11264,suburban,0,0
323,35,M,6,16446,suburban,0,0
324,92,F,4,21404,suburban,1,0
325,80,M,8,12146,suburban,0,0
326,39,M,13,12807,suburban,0,0
327,48,F,15,18251,suburban,0,0
328,58,M,0,11046,urban,0,0
329,72,F,3,10641,rural,0,0
330,84,F,5,11057,suburban,1,0
331,27,F,2,11022,urban,0,0
332,62,F,2,14674,urban,1,1
333,45,F,7,24298,rural,0,0
334,26,M,12,17402,suburban,0,0
335,27,M,1,14704,urban,2,0
336,46,F,1,19038,urban,0,0
337,63,F,5,23827,rural,0,1
338,67,M,19,21170,suburban,0,0
339,36,F,5,15149,rural,0,0
340,32,M,26,17686,urban,1,0
341,72,F,1,23323,suburban,1,0
342,23,F,3,25487,rural,0,0
343,29,F,0,30669,suburban,0,0
344,58,M,10,25467,suburban,1,0
345,54,M,1,19040,suburban,0,0
346,41,M,5,18551,urban,1,0
347,76,M,2,13534,suburban,0,0
348,26,M,18,28424,rural,1,0
349,89,M,29,6468,urban,1,0
350,30,F,9,15369,urban,0,0
351,33,M,20,10212,rural,0,0
352,59,M,11,23260,rural,0,0
353,37,F,6,12129,urban,1,0
354,42,F,7,17723,suburban,0,0
355,19,F,7,20834,suburban,0,0
356,33,F,10,22043,rural,0,0
357,49,M,2,10570,urban,0,0
358,88,F,3,17292,suburban,0,0
359,25,F,3,16484,urban,0,0
360,37,M,7,25723,suburban,0,0
361,78,F,4,19036,suburban,1,0
362,64,M,5,9893,urban,0,0
363,64,M,1,24564,suburban,0,0
364,17,F,19,12600,urban,1,1
365,45,F,0,15777,urban,0,0
366,72,M,2,15777,suburban,1,0
367,21,F,3,19150,urban,1,1
368,63,M,6,18618,urban,1,0
369,36,F,20,21609,suburban,1,0
370,30,F,20,13638,urban,0,0
371,77,F,0,20322,rural,0,0
372,19,M,5,13817,suburban,0,0
373,24,F,10,22984,suburban,0,1
374,59,F,7,11786,suburban,0,0
375,39,F,3,16114,urban,0,0
376,53,M,7,17868,urban,0,0
377,51,F,6,20843,urban,3,0
378,51,M,20,17402,urban,0,0
379,59,M,4,18055,suburban,0,0
380,78,F,7,18516,suburban,0,0
381,26,F,6,32872,suburban,0,0
382,65,F,1,12255,urban,0,0
383,35,M,6,13940,urban,0,0
384,70,F,6,23026,suburban,0,0
385,34,M,10,18982,urban,1,0
386,61,F,11,26233,suburban,0,0
387,25,M,11,20956,suburban,0,0
388,100,M,4,12852,urban,0,0
389,19,F,0,18499,suburban,1,0
390,40,F,6,23429,suburban,1,0
391,32,F,8,12849,urban,0,0
392,19,F,10,17956,urban,0,0
393,58,M,18,6770,suburban,0,0
394,86,F,6,25545,suburban,0,1
395,33,F,15,21227,suburban,0,0
396,95,M,3,19507,suburban,0,0
397,23,M,13,17883,urban,0,0
398,75,F,2,18468,rural,0,0
399,69,F,20,10322,suburban,0,0
400,57,F,14,8675,urban,0,0
401,87,F,20,16761,urban,2,0
402,36,F,15,14139,urban,0,0
403,70,M,11,18472,suburban,0,0
404,43,M,7,20950,rural,0,0
405,17,M,3,12886,urban,1,0
406,43,M,4,25502,suburban,1,0
407,74,F,12,11075,urban,1,1
408,75,F,4,21635,suburban,0,0
409,42,M,1,12462,suburban,0,0
410,50,M,3,16837,suburban,0,0
411,34,F,5,17591,suburban,1,0
412,65,F,0,12950,urban,0,0
413,38,F,3,22388,suburban,0,0
414,77,F,0,16110,suburban,0,1
415,44,M,19,13156,urban,1,0
416,18,F,3,12641,urban,2,0
417,43,F,9,17872,urban,0,0
418,25,M,19,20014,urban,1,1
419,18,F,11,18186,urban,0,0
420,34,M,8,17257,suburban,0,0
421,33,M,20,22231,suburban,0,0
422,71,M,2,17675,suburban,0,0
423,66,F,3,10338,urban,0,0
424,59,F,7,14688,suburban,0,0
425,83,M,6,18912,suburban,0,1
426,50,M,7,20163,suburban,0,0
427,55,F,20,10398,urban,1,0
428,22,M,13,16037,urban,2,0
429,47,M,7,15605,urban,0,0
430,94,F,9,15654,urban,0,0
431,25,F,4,10740,suburban,2,0
432,44,F,0,16028,urban,0,1
433,45,M,8,19982,suburban,0,0
434,19,F,0,16219,urban,1,0
435,71,F,4,13274,suburban,0,0
436,23,F,8,17132,urban,1,1
437,16,M,2,10693,urban,1,0
438,48,M,8,16520,urban,0,0
439,33,M,9,13567,urban,0,1
440,38,M,20,14222,suburban,0,0
441,40,M,2,16973,suburban,2,0
442,32,M,5,21533,rural,0,0
443,19,M,1,10295,suburban,1,0
444,67,M,0,15856,suburban,0,0
445,53,F,12,29181,suburban,0,0
446,26,M,5,11818,suburban,0,0
447,54,F,1,19973,suburban,0,0
448,58,F,14,15631,urban,0,0
449,61,M,6,12362,urban,1,0
450,96,F,6,16595,urban,0,0
451,72,M,3,14784,urban,1,0
452,49,M,4,19664,rural,1,0
453,37,F,7,16394,urban,0,0
454,66,M,7,18363,suburban,0,0
455,63,M,13,20632,suburban,0,0
456,53,F,4,10050,urban,0,0
457,84,M,5,17762,suburban,0,0
458,68,M,4,8033,suburban,1,0
459,23,M,7,18014,urban,0,0
460,28,M,5,15544,urban,0,0
461,47,F,2,18375,urban,0,0
462,74,F,2,23771,rural,1,0
463,26,F,2,14463,suburban,0,0
464,32,M,17,15534,urban,0,0
465,21,F,15,17703,rural,1,0
466,58,F,3,11459,urban,0,0
467,39,F,5,16292,urban,1,0
468,21,F,0,28655,rural,0,0
469,33,M,9,22391,rural,0,0
470,50,M,1,23673,suburban,2,1
471,85,M,3,14076,suburban,0,0
472,41,M,9,14215,rural,0,0
473,37,M,5,18052,suburban,0,1
474,53,M,13,15991,suburban,1,0
475,44,M,18,19229,rural,0,0
476,17,M,5,25329,urban,0,0
477,32,M,4,11623,urban,0,0
478,76,M,16,21031,suburban,0,0
479,41,M,15,17211,urban,0,0
480,61,F,1,11662,urban,0,0
481,45,F,3,16795,suburban,0,0
482,71,M,4,27630,rural,1,1
483,44,F,8,6903,urban,0,0
484,57,M,17,15565,urban,0,0
485,17,M,1,25921,suburban,0,1
486,48,M,18,13977,urban,1,0
487,28,M,7,17700,suburban,0,0
488,25,F,0,2000,suburban,0,0
489,66,F,3,18939,urban,0,0
490,22,F,19,18001,urban,0,0
491,56,F,10,28153,rural,0,0
492,66,M,18,19239,suburban,0,0
493,40,M,1,22926,urban,0,0
494,19,F,2,22639,suburban,1,0
495,21,M,1,19365,rural,0,0
496,40,M,10,24324,suburban,0,0
497,37,F,5,20397,urban,0,0
498,35,M,15,12873,urban,0,0
499,62,M,0,25494,suburban,2,1
500,29,M,9,27821,suburban,0,0
501,39,F,6,12829,urban,1,0
502,70,F,7,19735,suburban,1,0
503,33,F,2,15467,suburban,0,0
504,66,F,4,9640,urban,0,0
505,28,F,0,17607,suburban,0,0
506,83,M,4,15917,suburban,0,0
507,51,M,10,20667,suburban,1,0
508,33,M,4,22071,suburban,0,0
509,52,F,4,24605,suburban,0,0
510,73,F,0,17808,rural,1,1
511,23,M,7,14880,rural,0,0
512,22,M,4,14512,suburban,1,0
513,17,M,10,15277,urban,1,0
514,49,F,29,17288,suburban,0,0
515,67,M,16,19930,suburban,0,0
516,26,M,9,26367,suburban,0,0
517,23,F,4,25116,suburban,0,0
518,67,F,2,21859,urban,1,0
519,26,M,1,13191,urban,1,0
520,47,F,9,14641,urban,1,0
521,42,F,0,20141,suburban,0,0
522,65,M,8,10671,urban,0,0
523,30,F,10,13455,urban,0,0
524,53,F,8,13165,urban,0,0
525,66,M,0,26306,suburban,0,0
526,68,F,14,18030,urban,0,0
527,93,M,0,12083,urban,0,1
528,42,F,1,14039,suburban,1,0
529,42,M,10,16125,suburban,0,0
530,56,F,6,14089,rural,0,0
531,23,F,22,15942,suburban,0,0
532,16,M,12,16127,suburban,0,0
533,65,F,2,26927,rural,0,0
534,91,F,5,20492,suburban,0,0
535,28,F,4,23731,rural,0,0
536,45,F,6,14428,suburban,0,0
537,16,M,1,16413,urban,1,0
538,26,M,14,16089,urban,0,0
539,54,F,4,19546,suburban,0,1
540,99,M,10,16049,suburban,0,0
541,82,F,9,22654,suburban,0,0
542,46,M,10,25644,suburban,2,0
543,34,F,4,8211,urban,0,0
544,60,M,2,25642,suburban,0,0
545,74,M,0,12986,urban,1,0
546,67,M,17,12205,urban,1,0
547,20,M,12,19243,suburban,1,0
548,54,F,7,22401,suburban,0,0
549,19,M,2,22840,rural,1,1
550,37,F,2,10788,rural,1,0
551,36,M,0,36501,rural,1,0
552,39,M,12,12377,urban,0,0
553,35,F,4,15589,suburban,1,0
554,16,F,7,17277,urban,0,2
555,75,F,9,16056,urban,0,0
556,33,M,3,28749,suburban,0,0
557,53,M,0,8649,urban,0,0
558,73,M,10,18514,urban,0,0
559,44,F,4,22585,suburban,0,0
560,65,M,8,24480,urban,0,0
561,60,M,20,18626,urban,1,0
562,91,M,1,19917,suburban,1,0
563,36,F,3,12140,urban,0,0
564,74,M,2,20020,urban,0,0
565,65,F,12,11862,rural,0,0
566,42,M,10,5400,urban,0,0
567,32,M,7,24554,suburban,0,1
568,65,F,9,29338,rural,1,0
569,57,F,1,19587,suburban,0,0
570,44,M,5,14474,suburban,0,0
571,43,M,3,13944,urban,1,0
572,32,M,19,15555,suburban,1,0
573,58,F,7,22800,suburban,0,0
574,48,M,17,26010,suburban,0,0
575,31,M,0,18162,urban,0,0
576,16,F,7,13193,suburban,0,0
577,63,M,9,11046,urban,1,0
578,63,F,8,15680,suburban,0,0
579,61,F,19,23609,suburban,0,0
580,27,F,5,16667,suburban,0,0
581,68,F,14,14666,suburban,0,0
582,24,F,2,12865,suburban,1,0
583,19,F,2,19347,rural,1,0
584,31,F,5,16550,suburban,0,0
585,72,F,8,17915,urban,0,0
586,28,F,6,18989,suburban,0,0
587,30,F,8,23837,suburban,0,0
588,54,F,3,19720,suburban,0,0
589,51,M,15,10516,urban,0,0
590,45,F,30,20070,suburban,1,0
591,55,F,0,13641,urban,0,0
592,19,M,3,18945,rural,0,0
593,52,F,16,16659,urban,0,1
594,26,F,7,20098,suburban,0,0
595,30,M,3,4703,suburban,0,0
596,78,F,4,20628,suburban,1,0
597,82,M,11,22149,rural,1,0
598,69,F,14,18826,suburban,0,0
599,64,F,26,10412,suburban,0,0
600,53,F,10,14808,urban,0,0
601,88,M,8,16598,suburban,0,0
602,34,F,4,7088,urban,0,0
603,20,M,5,12125,urban,2,0
604,33,F,4,16521,urban,1,0
605,39,F,6,17970,urban,0,0
606,76,M,5,23314,suburban,0,0
607,20,M,11,9553,urban,0,1
608,31,M,9,13986,urban,0,0
609,43,F,10,29933,rural,1,0
610,16,F,7,9967,urban,0,0
611,44,F,9,11256,urban,0,0
612,38,F,3,15988,urban,0,0
613,20,M,10,23086,urban,0,0
614,31,M,13,23568,urban,0,1
615,33,F,1,22963,suburban,1,0
616,24,M,4,12226,suburban,0,0
617,32,F,1,22043,suburban,0,0
618,54,F,8,9104,urban,0,0
619,60,F,28,13801,suburban,0,0
620,28,F,20,27821,suburban,0,0
621,68,M,2,14869,urban,0,0
622,21,F,10,12411,urban,0,0
623,54,F,2,13403,urban,0,0
624,70,F,1,16777,suburban,0,0
625,28,F,15,19379,suburban,0,0
626,63,M,12,13290,suburban,0,1
627,94,F,8,15744,rural,0,0
628,67,F,3,17675,urban,2,0
629,84,F,3,16495,urban,2,0
630,74,M,9,15728,suburban,0,0
631,37,M,15,13492,urban,0,0
632,40,F,2,17125,urban,0,1
633,42,F,8,24575,rural,0,0
634,52,M,13,21370,urban,0,0
635,55,F,8,20807,rural,1,0
636,36,F,2,19633,urban,1,0
637,46,F,1,12304,suburban,0,1
638,75,F,9,11345,urban,0,0
639,61,M,1,12706,urban,1,0
640,55,M,5,15689,urban,0,0
641,17,M,10,31763,rural,1,1
642,77,M,7,13556,urban,0,0
643,53,M,9,29843,rural,1,0
644,31,M,22,24058,suburban,0,0
645,48,F,1,19330,urban,1,0
646,27,M,20,14542,urban,0,0
647,42,F,8,12695,urban,0,0
648,16,M,1,14643,suburban,0,0
649,74,F,0,20622,urban,0,0
650,71,F,0,12086,rural,0,0
651,51,F,0,18851,suburban,0,0
652,45,M,27,20077,urban,0,0
653,45,M,4,11265,urban,0,0
654,44,M,2,13068,suburban,0,0
655,45,F,10,29087,rural,0,0
656,30,M,1,20582,suburban,0,0
657,37,F,8,7866,suburban,0,0
658,96,F,19,18756,suburban,0,0
659,75,F,6,19066,suburban,0,0
660,96,M,16,15379,suburban,0,0
661,74,F,1,20430,rural,0,0
662,65,F,10,14588,urban,2,0
663,50,M,0,16199,rural,0,0
664,76,M,1,19062,urban,1,0
665,69,F,8,26821,suburban,1,0
666,35,F,0,21366,urban,1,0
667,58,M,16,11961,urban,0,0
668,69,M,10,15960,urban,1,0
669,16,M,1,13057,urban,0,1
670,57,F,3,20515,suburban,0,0
671,34,F,7,20885,urban,0,0
672,40,M,12,16616,urban,1,0
673,51,M,5,18482,suburban,0,0
674,48,F,8,27148,suburban,0,0
675,45,M,4,16645,urban,0,0
676,16,F,4,13408,suburban,2,0
677,51,F,3,9564,urban,0,0
678,25,F,6,20597,rural,1,0
679,50,M,0,23389,rural,1,0
680,40,M,1,14259,suburban,0,0
681,76,F,8,19714,urban,0,0
682,66,F,2,5809,suburban,0,0
683,61,F,10,15703,suburban,0,0
684,27,F,3,33052,rural,0,0
685,65,M,6,25613,suburban,0,1
686,76,F,8,12547,urban,0,0
687,25,M,1,17495,urban,1,1
688,75,F,2,36493,rural,1,0
689,29,F,15,25287,suburban,0,0
690,57,F,1,26133,suburban,1,0
691,44,F,7,18560,urban,1,0
692,71,F,6,17595,rural,0,0
693,34,M,30,15188,urban,0,0
694,69,M,8,15873,urban,0,0
695,30,M,12,16593,urban,1,0
696,65,M,18,24534,suburban,0,0
697,32,F,0,19726,urban,0,0
698,63,M,9,12250,urban,0,0
699,40,M,8,23894,rural,0,0
700,53,M,2,23436,suburban,1,0
701,33,M,3,19916,suburban,0,0
702,63,M,2,13369,suburban,0,0
703,24,F,9,20306,suburban,1,0
704,40,F,10,17587,suburban,0,0
705,17,M,5,16374,rural,1,0
706,32,M,17,12051,urban,1,0
707,34,M,18,5910,suburban,1,0
708,41,M,19,12264,suburban,1,0
709,56,M,6,14414,urban,0,0
710,51,M,18,21538,suburban,0,0
711,43,M,4,13425,urban,0,0
712,57,F,9,21284,urban,0,0
713,24,M,0,25616,suburban,0,0
714,30,F,7,16415,urban,0,0
715,18,M,1,15714,suburban,0,0
716,52,M,3,19611,rural,0,0
717,18,M,23,14803,suburban,1,0
718,54,F,9,18206,suburban,0,1
719,78,F,6,11071,suburban,0,0
720,58,M,2,17707,suburban,0,0
721,32,M,6,23999,suburban,1,0
722,35,F,6,15069,suburban,0,0
723,16,M,2,21646,suburban,1,0
724,46,F,2,21102,suburban,0,0
725,35,M,0,9276,urban,2,0
726,35,F,5,30847,rural,0,0
727,55,M,6,15966,suburban,1,0
728,25,M,5,9885,urban,0,0
729,20,F,3,25801,rural,0,0
730,53,F,0,16398,suburban,0,0
731,22,M,3,14504,urban,0,0
732,48,M,12,27881,rural,0,0
733,46,M,0,24192,rural,0,0
734,59,M,5,10825,urban,1,0
735,18,F,5,22801,suburban,0,0
736,63,M,5,19769,urban,0,0
737,93,F,7,13245,suburban,0,0
738,19,M,6,13443,urban,1,0
739,76,F,3,16126,urban,0,0
740,62,F,4,8790,suburban,0,0
741,25,F,0,28356,suburban,1,0
742,48,F,7,7745,urban,0,0
743,27,M,6,15578,suburban,0,0
744,75,M,12,31564,rural,0,0
745,44,M,3,19966,urban,0,0
746,78,F,2,19446,suburban,0,0
747,71,F,1,20607,suburban,1,0
748,34,F,1,18118,suburban,0,0
749,23,M,25,7273,urban,0,0
750,68,M,14,8068,suburban,0,1
751,46,M,1,14083,rural,1,0
752,43,F,8,10948,suburban,0,0
753,75,F,7,17644,suburban,0,0
754,34,F,2,20647,urban,0,0
